	Region	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
0	Rice_Mid_China_Beijing																				0.21656	-1.18201	-0.21656	0.1195	0.0	-0.1195	0.0	0.0	0.36	0.06981	-0.29417	-0.06981	0.0	0.0	0.89417	0.19143	0.0	-0.04533	0.04533	0.0	0.0	-0.12091	0.12091	0.0	-0.13432	-0.40385	0.07803	-0.07803	0.50239	-0.01754	-0.11058	0.13312	0.0		
1	Rice_Mid_China_Tianjin																				0.06676	-0.76832	0.0	-0.61252	0.06513	-0.06513	0.39445	0.22795	-0.22795	-0.12328	0.47856	-0.47856	0.0	0.0	0.24957	0.39154	-0.24957	0.0	0.62822	0.0	-2.48616	-0.07019	0.0	0.55636	0.5888	-0.02713	0.02713	-0.04945	-0.02075	0.0	0.0	0.217495	0.12944		
2	Rice_Mid_China_Hebei																				0.0	-0.436745	0.22189	0.55999	-0.37851	-0.02829	0.02483	0.0417	-0.02483	-0.00231	0.09023	-0.27362	0.0	0.0	0.66072	0.18128	-0.08999	0.08999	0.0	0.0	-0.44767	0.0	-0.00182	0.0	0.0	0.11151	-0.11151	0.05934	0.00955	-0.05934	0.0	0.47086	-1.0067		
3	Rice_Mid_China_Shanxi																				-0.11336	-0.167255	0.0	0.31933	0.24169	0.0	0.0	-0.58797	-0.4029	0.19785	-0.00672	0.0	0.40278	-0.17576	0.0	0.65341	-0.70348	0.0	0.35217	-0.64965	1.56265	-1.04576	1.16817	-0.06286	0.0	-0.69179	0.7119	0.0	-3.15789	0.0	0.0	0.23944	1.03863		
4	Rice_Mid_China_Nei Mongol																				0.0	-0.06023	0.16354	-0.42386	0.21596	0.25642	-0.21596	-0.51915	0.0	0.0	0.11915	-0.11915	0.0	0.0172	-0.0172	0.0	0.56677	0.09653	-0.6633	0.0	0.0	0.33929	-0.33929	0.0	0.0	0.16606	-0.01157	0.33261	0.0	-1.17121	0.0	0.499365	0.0		
5	Rice_Mid_China_Liaoning																				-0.14422	0.00865	-0.0173	0.93756	1.25474	-0.92687	0.08085	0.0361	-0.0361	-1.31748	0.0	0.0	0.26856	0.63859	-0.19532	-1.54914	0.0	0.20345	-0.06152	0.5672	0.06152	-0.79905	0.0	-0.28139	0.0773	0.0	-0.55111	0.0	0.03115	0.04752	-0.91877	-0.00767	0.01534		
6	Rice_Mid_China_Jilin																				-0.18031	-0.557395	0.0	0.01048	1.03023	-0.01048	-0.69425	0.3863	0.0	-1.37762	0.06782	0.21836	-0.06782	-0.15401	0.0997	-0.0997	0.0	0.0	0.09589	0.42248	0.0	-0.47802	-0.32752	0.0	0.0556	-0.0556	0.0	0.0	1.14316	-0.79373	0.0	0.976155	-0.85313		
7	Rice_Mid_China_Heilongjiang																				0.81153	-0.84816	-0.7601	0.0	0.28833	0.0	0.05131	-0.29278	0.0	-0.47419	0.36357	-0.43465	0.0	0.0	0.0	0.0	0.0	0.3154	0.0	-0.3154	0.58058	0.0	-0.60258	0.0	0.32104	0.0	0.03089	-0.10512	-0.04874	0.0	0.0	0.170595	0.07215		
8	Rice_Mid_China_Shanghai																				0.0	-0.676705	0.14625	-0.14625	0.49265	-0.49265	0.27802	-0.27802	0.0	0.0	0.00314	0.32596	-0.00314	-0.36075	0.071	-0.071	0.0	0.22555	0.21003	-0.28323	-0.21003	0.50758	0.05733	-0.25832	0.0	-0.29168	0.08952	-0.22544	0.0	0.0	0.0	0.025465	0.10272		
9	Rice_Mid_China_Jiangsu																				-0.36532	-0.34544	0.0	0.0	0.36416	-0.13134	0.14918	0.0	-0.0439	0.3945	-0.0382	-0.05454	0.0	0.0	0.0	0.0	0.0	0.04319	0.69421	-0.09519	-0.24906	0.24906	0.45025	-0.28837	0.0	-0.17891	0.10262	-0.03316	-0.08498	0.0	0.0	0.09889	0.13876		
10	Rice_Mid_China_Zhejiang																				0.0	-1.31959	0.0	0.41411	0.66843	-0.58029	-0.36025	0.857	0.0	0.0	-0.39171	0.41871	-0.57055	0.0	0.0	0.06387	0.15288	-0.21524	0.16449	-0.12889	-0.03711	0.23776	0.2507	-0.10195	0.0	-0.54882	0.19247	-0.19247	0.0	0.0	0.0	0.079455	0.05597		
11	Rice_Mid_China_Anhui																				-0.79985	-0.170215	0.0	0.0	0.0	0.42606	0.50288	-0.42606	-0.49284	0.44948	0.55951	-0.98174	-0.13719	0.52054	-0.44055	0.0	0.55408	-0.35487	0.43792	0.27803	-0.81483	0.0	0.57223	-1.50982	0.07668	-0.2538	-0.07668	0.0	0.08977	0.06917	-0.06041	-0.006625	0.01325		
12	Rice_Mid_China_Fujian																				-0.60765	-0.004065	0.0	0.15889	-0.05535	-0.10354	0.0	0.47661	-0.06701	0.2015	-0.07345	-0.09883	0.0	0.0	0.0	0.0	0.10587	-0.03758	0.03401	-0.01189	0.00944	0.01189	-0.0961	-0.08582	0.0	0.0	0.0	0.00138	-0.00138	0.01295	-0.01295	0.04021	0.00806		
13	Rice_Mid_China_Jiangxi																				-0.21327	-0.09099	0.0	0.0	0.0	0.10654	0.0	0.0	-0.34573	0.0	0.0	0.0	0.04892	0.3186	-0.36752	0.0	0.01937	0.0	0.03856	0.0	0.0	-0.2196	0.2196	-0.37959	-0.33084	0.0	0.03165	0.0	-0.01755	0.01782	-0.06838	-0.03145	0.13702		
14	Rice_Mid_China_Shandong																				-0.38977	-0.197875	0.0	0.36224	-0.28091	-0.08133	0.33015	0.0	-4.20541	0.0	0.69841	0.62813	-0.5679	-0.24322	0.0	0.36679	0.0	-0.68705	2.00512	0.0	-0.4347	-0.3623	0.12477	-0.12477	0.0	0.0	0.0	0.11953	0.12792	-0.02644	-0.05151	0.014055	0.0		
15	Rice_Mid_China_Henan																				-0.15741	0.37444	-0.74888	0.11168	0.16722	0.0	0.0	-0.23672	-0.97811	0.36251	0.68752	-0.39507	-0.52639	0.47172	-0.47172	0.00586	-0.00586	0.43845	0.48069	-0.38897	0.0	-1.67418	0.23061	-2.26479	0.0	-0.00469	0.0	0.0	0.0	0.0	0.06573	-0.032865	0.09617		
16	Rice_Mid_China_Hubei																				-0.86584	-0.103025	0.0	0.0	0.0	0.0	0.25304	0.0871	-0.56946	0.01506	0.49251	-0.75531	0.15102	-0.15102	0.0	0.13327	0.0	0.20523	-0.12872	0.0	0.12339	-0.29682	0.07541	-0.10547	0.27005	0.0	-0.34195	0.0	0.13251	0.04075	-0.17326	0.10907	0.2172		
17	Rice_Mid_China_Hunan																				-0.20569	-0.16326	0.0	0.4287	0.0388	-0.54675	0.24852	0.33847	-1.01499	0.04764	0.06331	-0.11095	0.10382	-0.10382	0.28749	0.0	-0.26333	0.34875	-0.26445	0.0092	0.0	-0.1454	0.37213	0.86288	0.0	0.0	-0.0104	-0.00443	0.15115	0.0	-0.15115	0.03248	0.15001		
18	Rice_Mid_China_Guangdong																				-0.07115	-0.011395	0.59799	-0.41874	0.07793	-0.10312	-0.02547		0.038215	-0.160515	0.2522	-0.1261	1.22959																						
19	Rice_Mid_China_Guangxi																				0.0	-0.21387	0.0	0.09721	0.11345	-0.35524	-0.01961	0.42239	-0.20013	-0.01421	0.0	0.0	0.0	0.0	0.0	0.0	0.01293	0.09776	-0.08115	-0.31651	0.0	0.33337	0.04515	-0.04515	-0.12114	0.0533	-0.0533	0.0	0.05669	0.07822	-0.45263	-0.20902	0.46627		
20	Rice_Mid_China_Hainan																												0.0	-0.264835	0.5134	0.230635	-0.462095																						
21	Rice_Mid_China_Chongqing																																					0.05658	-0.28039	0.0	0.37066	-0.43438	-0.13234	0.0	0.17591	0.17093	-1.84286	0.04159	0.3216	-0.04159	0.08592	-0.184	0.0		
22	Rice_Mid_China_Sichuan																				-0.16686	-0.26106	0.0	0.0	0.26354	-0.26354	0.00551	0.0896	-0.1388	0.0	0.27747	0.0	0.08831	-0.1722	-0.39787	0.0	0.0	0.00286	-0.00286	0.16654	0.1032	-0.41837	0.0	0.0	0.15119	0.0	-0.79361	-0.2405	0.0	0.0	0.0	0.030615	0.08358		
23	Rice_Mid_China_Guizhou																				0.0	-0.613335	0.0	0.35964	0.58696	-0.54762	0.0	0.10181	-0.29144	-0.01819	0.0	0.92693	-0.09628	-0.55617	0.02531	-0.02531	0.0	0.01963	0.15978	-0.09875	0.23331	0.0	-1.63145	0.0	0.28138	0.0	-0.41123	0.1005	0.18312	0.0	0.0	-1.68886	0.0		
24	Rice_Mid_China_Yunnan																				-0.23474	-0.026885	0.10243	-0.10243	0.21879	0.08028	-0.29918	-0.03401	0.0	0.0	0.02013	0.03579	-0.05592	0.0	0.0	0.0	0.0	0.0	0.09738	0.36687	-0.06148	0.0	-0.40817	0.22828	-0.07004	0.26885	-0.00199	-0.16108	0.0576	0.01553	-0.0576	0.176915	-0.0766		
25	Rice_Mid_China_Xizang																				0.0	7.14286	0.0	-6.0	3.80953	2.66667	0.0	-0.47619	0.0	0.95238	0.11364	-0.63636	0.0	0.0	0.27777	0.55556	-0.37878	0.0	0.0	0.0	0.00865	0.21484	-1.93039	0.15239	-0.15406	-0.10784	0.62825	0.10784	-0.29592	-0.3	0.4534	0.216495	-0.43299		
26	Rice_Mid_China_Shaanxi																				0.0	-1.54923	0.0	0.0	0.21609	-0.21609	0.11565	0.09991	-0.35696	0.0	0.04072	0.08947	0.0	0.0	-0.87757	-0.72169	0.60416	0.0	0.0	-0.76168	0.20881	0.38531	0.0	-0.65171	0.0	0.09682	-0.17312	0.0	0.08529	-0.07956	-0.00573	0.162655	0.09511		
27	Rice_Mid_China_Gansu																				0.94595	0.05334	0.0	-0.10122	0.0	0.0	0.25641	0.76924	-0.37179	0.64296	0.0	-0.82054	0.51535	-0.51535	0.84239	0.33143	0.0	-0.42565	-0.55793	0.0	0.0	0.69339	0.26143	-0.58492	0.0	0.4882	0.0	-0.44945	0.0	-0.014735	0.085975				
28	Rice_Mid_China_Qinghai																																																						
29	Rice_Mid_China_Ningxia Hui																				-0.43895	-0.15093	0.0	0.0	0.01272	0.16218	-0.05993	-0.05598	0.0	0.0	0.59116	0.81389	-1.48423	-0.43324	0.73262	-0.73262	0.0	0.0	0.54496	0.34505	-0.59478	0.0	0.58188	-0.38558	-0.42133	0.42133	0.41039	-0.40519	0.0	-0.01727	0.0	0.00665	0.02828		
30	Rice_Mid_China_Xinjiang Uygur																				-0.33317	-0.25726	0.0	0.10449	-0.10449	0.0	0.0	0.0	0.0	0.0	0.0	1.05788	0.0	-1.3531	0.0	0.0	0.0	0.10819	1.41229	-2.05507	-0.01705	0.01705	0.18087	-0.19613	-1.8779	0.0	0.95091	1.04657	-2.92336	-1.92562	0.23787	0.008065	-0.01613		
31	Rice_Late_China_Shanghai																				-0.7156	-0.774445	0.20861	-0.05065	0.87578	0.0	-0.28444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47525	0.9601	-0.15211	-0.4461	0.46891	0.0	-0.25439	0.0	3.45486	0.0	0.047755	-0.08821									
32	Rice_Late_China_Jiangsu																				-0.64235	-0.411195	0.0	0.0	0.09927	0.0	0.11424	-0.05991	0.0	0.0	0.392	-1.21759	0.311	-0.31611	0.0	0.0	0.92994	0.0	0.42994	-0.14897	0.14897	-0.40161	-0.44502	0.29666	-0.16462	-0.13204	1.20256	0.0	0.03011	-0.1769	0.0				
33	Rice_Late_China_Zhejiang																				0.0	-0.81681	0.11657	-0.11657	0.52909	-0.03372	-0.03893	0.0	0.23931	0.0	-0.30706	0.59234	-0.23339	-0.06397	0.0	0.00728	0.21905	-0.08919	0.22949	0.0	-0.18095	0.0	0.0	0.12709	0.03963	-0.23235	0.0	-0.52389	0.14377	0.07537	-0.13887	-0.037685	0.10823		
34	Rice_Late_China_Anhui																				-1.11779	-0.422095	0.0	0.0	0.0	0.0	0.09057	0.04756	-0.22119	0.06009	0.12339	-0.11629	-0.09374	0.5438	-0.37203	0.37379	0.0	-0.5767	0.29023	0.32086	-0.89364	0.0	0.42251	-0.26218	0.23351	-0.02308	-0.05691	0.0	0.02819	0.0	-0.02819	0.040455	0.22915		
35	Rice_Late_China_Fujian																				-0.27092	-0.21127	0.08285	0.18222	-0.08285	0.04286	-0.63539	0.0	-0.28165	0.0916	-0.0916	0.0	0.0	0.0	0.0	0.0	0.05626	0.0	0.02448	-0.02659	-0.03027	0.02659	-0.09771	0.0	0.0	0.0	0.04657	-0.04657	0.10719	-0.01767	-0.08952	0.06571	0.25207		
36	Rice_Late_China_Jiangxi																				-0.01817	-0.31818	0.0	0.0	0.0736	0.2656	-0.63121	-0.06034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08987	0.0	0.0033	0.0	-0.08702	0.08702	0.0	-0.24651	-0.18059	0.0	0.0	0.0	0.0	0.0	0.0	0.002005	0.01932		
37	Rice_Late_China_Shandong																																																						
38	Rice_Late_China_Henan																																																						
39	Rice_Late_China_Hubei																				-0.8325	-0.39323	0.0	0.0	0.0	0.09026	0.21811	-0.30837	0.0	0.03751	0.05739	-0.0949	0.17491	-0.17491	0.0	0.0	0.0	0.11294	0.0	0.08705	-0.05018	-0.33518	0.05018	0.35537	0.0	0.0	-0.06208	-0.03727	0.0	0.0	0.0	0.00276	0.44858		
40	Rice_Late_China_Hunan																				0.0	-0.28232	0.0	0.34536	-0.34164	0.05444	0.0	0.26184	-0.1042	0.0	-0.09122	0.0	0.0	0.13921	-0.13921	0.26055	0.31954	-0.09383	0.09383	-0.00764	-0.05833	0.40471	-0.18523	-0.2013	0.22706	-0.23653	0.00421	-0.00421	0.08353	0.0703	-0.12628	-0.03862	0.19849		
41	Rice_Late_China_Guangdong																				0.0	-0.73097	0.02534	0.0	0.1983	-0.2816	-0.29194	0.15342	-0.15342	0.0	0.07311	0.00435	0.0	-0.11506	-0.053	0.0	0.0	0.0	0.20647	0.48533	0.0	0.0	-0.00662	0.00662	-0.57358	-0.15395	0.16156	0.16294	-0.20082	-0.1244	0.0	0.09452	0.22046		
42	Rice_Late_China_Guangxi																				0.0	-0.49594	0.60978	0.67868	0.0	-0.03049	-0.02442	0.40088	-0.77397	0.0	0.03996	-0.03996	0.17349	0.07511	-0.40153	0.01189	0.0	-0.13071	0.28991	0.0	-0.05761	0.11585	-0.11653	0.03281	-0.5219	-0.03281	0.0	0.0	0.0	0.06872	0.07442	-0.37729	0.00572		
43	Rice_Late_China_Hainan																												-0.3897	-0.262865	0.0	0.0	0.31112	-0.1032	0.0	0.20039	-0.34919	0.09592	0.0	0.07405	-0.24405	0.08399	-0.16707	0.0	0.2231	-1.00825	0.0	0.12518	0.13279	0.0	-0.56356	-0.10621	0.38578		
44	Rice_Late_China_Chongqing																																					0.20147	0.188085	0.0	0.0	-1.96079	-1.55172	0.94444	-0.47222	0.11617									
45	Rice_Late_China_Sichuan																				-1.07059	-0.048355	0.0	0.0	0.04277	-0.04277	0.0	0.4431	-0.4431	0.09559	-0.09559	0.0	0.1436	-0.1436	0.50601	1.36927	0.0	-0.43446	0.11522	0.06006	0.0	0.0	0.0	-0.38253	-0.34783	0.0	0.3816	-0.3816	0.11904	0.0	-0.11904	0.47619	0.0		
46	Rice_Late_China_Guizhou																				0.89134	0.098685	-0.459	-0.19737	0.098685	0.07177		0.0		0.9375	0.0	-1.70455	0.0	0.0	2.12122	-0.45455	0.0	0.0	0.71429	0.71429	-0.19481	-1.66667	0.19481	-0.93074	0.861525		-0.65852	-0.493155	0.493155	0.02244					
47	Rice_Late_China_Yunnan																				-0.36845	-0.279955	0.30119	0.36872	0.0	-0.4002	-0.57872	0.14582	-0.14582	0.0	0.0	0.30464	0.58992	0.0	-0.67795	0.23643	0.10274	-0.15638	0.0	0.1279	-0.50882	0.71867	-0.58591	-0.13276	0.0	0.0	0.33989	-0.11703	-0.00478	0.0	0.20709	0.081645	-0.19378		
48	Rice_Early_China_Shanghai																				-0.2757	0.81145	0.0	-1.0853	0.0	0.0375	0.0	0.82977	-0.1044	-0.1485	0.4031	0.0396	-0.7273																						
49	Rice_Early_China_Jiangsu																				-0.506	-0.0826	0.1487	-0.1487	0.0	0.056	0.246	-0.38427	-1.4241	0.52327	0.5518	-1.17796	-0.08889	0.03137	-0.015685	0.50234																			
50	Rice_Early_China_Zhejiang																				-0.4837	0.24185	0.11	-1.0041	0.0617	0.0	0.3075	0.0	-0.36264	-0.39894	0.2633	0.1969	0.0	-0.1786	0.0139	-0.3784	0.0	0.44585	-0.2311	-0.52447	0.17445	0.10355	-0.17445	-0.10355	0.09375	-0.03169	-0.02121	0.0	0.09129	0.21878	-0.51478	0.13849	0.0		
51	Rice_Early_China_Anhui																				-0.9154	0.4577	0.5627	-0.8241	0.0	-0.0873	0.1794	0.11866	-0.14036	0.0	0.1664	-1.7793	0.0	-0.0815	0.2889	0.0	-1.22446	0.2267	0.64228	-0.84395	-0.48983	0.12379	0.0	-0.12379	0.0	0.0	0.0	0.03974	-0.03454	0.15854	-0.02685	-0.068445	0.20234		
52	Rice_Early_China_Fujian																				0.0	-0.22925	0.0	0.0	0.1185	-0.0789	0.0404	-0.08	0.0	0.0321	0.0	-0.0992	0.0248	0.0033	-0.0988	0.0	0.017	0.08497	-0.06662	0.06662	-0.06447	0.0	-0.17501	0.05536	0.11628	-0.05536	-0.21678	0.0	0.0	0.09124	-0.09124	0.07023	0.00583		
53	Rice_Early_China_Jiangxi																				-0.1628	-0.117	0.0296	-0.0296	0.1891	-0.1891	0.0652	0.21038	-0.1249	-0.4493	0.1249	0.2246	-0.0441	-0.2976	0.0441	-0.5297	0.3003	0.06444	-0.93752	-0.06444	0.18764	0.11691	-0.21803	-0.11691	0.00726	-0.00726	0.0	0.0	0.14387	0.0855	-0.63132	0.00426	0.0835		
54	Rice_Early_China_Shandong																																																						
55	Rice_Early_China_Henan																																																						
56	Rice_Early_China_Hubei																				-0.5886	0.1273	0.815	-0.8572	0.0	0.0	0.1096	-0.28714	0.0086	0.0	0.2805	-1.323	0.0	-0.019	0.2847	0.0	-0.34838	0.34102	0.0	0.0	-0.14524	0.21912	-0.40918	-0.2056	0.04579	0.01377	-0.05878	-0.000779999999999	0.15061	0.1398	-0.25026	-0.0699	0.2484		
57	Rice_Early_China_Hunan																				-0.2578	-0.18445	0.0	0.0017	0.1897	-0.0466	0.239	-0.16029	0.0	0.0	0.1652	0.0	-0.0184	-0.1588	0.41029	-0.01891	-0.03888	0.56529	-0.04464	-0.52065	0.58635	0.45937	-0.43391	-0.25039	0.04714	0.0	-0.04714	0.0	0.21637	0.08544	-0.16014	0.016465	0.0		
58	Rice_Early_China_Guangdong																				0.0	-0.2043	0.0	0.0123	0.0	0.0457	-0.2666	-4.8037	0.0	0.0	0.0	0.0	0.201	0.0	-0.5507	0.0	0.0	0.0	0.10567	0.44256	0.0	-0.20352	-0.02482	0.02482	0.14683	-0.11239	-0.15983	0.11239	-0.22062	0.06717	-0.06717	0.093425	0.02692		
59	Rice_Early_China_Guangxi																				0.0	-0.3825	0.0	0.1987	0.0	0.0	-0.1355	0.12501	-0.13481	0.0	0.0	0.0	0.2369	0.0	-1.1565	0.0507	0.0	0.13733	-0.314	0.10073	0.314	-0.23504	0.02993	0.13656	-0.04496	-0.20587	0.0	0.10743	-0.10743	0.08676	-0.08676	0.01963	0.22547		
60	Rice_Early_China_Hainan																												-0.5386	0.0541	-0.0882	-0.01	0.1693	-0.1256	-0.0407	0.0	0.0	0.12239	-0.12239	0.03611	0.0	0.04679	-0.12136	0.0	0.20678	-0.29892	0.03665	-0.03665	0.0	0.01011	-0.01011	0.082995	0.06685		
61	Rice_Early_China_Chongqing																																					0.0	-0.1797	0.28361	-0.12122	0.25	0.0	0.0	-0.727275	0.45161									
62	Rice_Early_China_Sichuan																				-0.1689	-0.0824	0.1415	0.0	0.5901	-0.24983	0.0	-0.57007	0.0	0.0	0.0	0.1746	0.4069	-0.5297	-0.1842	1.5549	-0.22393	0.04407	-0.0294	-0.04407	0.0	0.0	0.0	0.46445	0.0	0.0	-0.09671	0.09671	-0.15385	0.0	-0.32052	0.104895	0.0		
63	Rice_Early_China_Guizhou																				0.0	1.4019	-0.8224	0.0	-0.1974	0.0	0.5245	0.3846	-2.0	0.0	1.0	1.1111	-0.7143	0.0	0.7143	0.0	-3.333	0.0	1.66667	-1.92308	-1.66667	1.25	0.0	-1.25	0.76778	0.40654	-0.36124	0.12917	-0.598255	0.0					
64	Rice_Early_China_Yunnan																				-0.92	0.01065	-0.0213	0.0	0.0	0.0	0.09142	-0.09142	0.0798	-0.0798	0.2014	-0.2014	0.0636	-0.0636	0.0	0.0	0.1291	0.0	-0.03823	0.15176	0.0	-0.11953	-0.1922	0.82061	0.03757	-0.77809	0.05837	0.06716	-0.07566	0.0	0.07566	-0.08723	0.0		
65	Rice_India_All	0.0	-0.14995	0.0079	0.2212	-0.2548	-0.2532	0.0	0.004	-0.004	0.0715	0.0261	-0.0803	0.0149	-0.0628	0.1323	-0.221	0.1031	0.0299	-0.3518	0.0379	0.0	-0.1505	0.0561	-0.0561	0.1301	0.0	-0.1301	0.0	0.0035	0.0	0.0111	-0.0179	0.1331	0.0419	-0.1331	-0.0231	0.0	0.0297	0.0977	-0.0297	0.1376	-0.3593	0.0019	-0.1421	0.0	0.0	0.0558	0.0	-0.0558	0.0	0.0	0.1031	0.0096	-0.0225
66	Rice_Italy_All	0.081	0.18975	-0.3133	0.3133	-0.8785	0.0	0.4953	-0.5654	0.0037	0.0	0.0	-1.0006	0.0	0.0577	0.2852	-0.105	-1.2818	0.0	0.748	0.0	-0.3088	0.1157	0.0	-0.1157	0.4392	0.3216	-0.3216	-0.4246	0.0187	0.0004	0.0	0.0	-0.1344	0.0	-0.2455	0.0	0.0	0.0623	0.2685	-0.6763	-0.4206	0.0	0.1055	0.3243	-0.1055	-0.0302	0.3166	-0.0823	0.5992	-0.073	-0.589	0.4985	0.1597	-0.3194
67	Rice_Pakistan_All	0.0013	-0.00525	-0.0013	0.0763	-0.0349	-0.0414	0.0	0.0	0.0262	-0.0262	0.0	0.0331	0.106	-0.184	-0.0333	0.0175	-0.0175	0.052	-0.052	0.0	0.097	0.1056	0.0	-0.0182	-0.1384	0.0555	0.1254	0.0	-0.0274	-0.0048	0.0	0.0	0.3064	-0.3064	0.0	0.0637	-0.0637	0.0	0.1814	0.012	-0.265	0.0278	-0.0363	-0.0278	0.0138	-0.0138	0.0	0.2023	0.2669	0.0	-0.0414	-0.0249	0.02715	0.0
68	Rice_Spain_All	0.0	-0.0662	0.1327	-0.0135	-0.2849	0.2346	0.0	-0.1284	0.4655	0.0	-0.042	-0.0976	0.2997	-0.1031	0.0	0.3518	-0.5135	-0.3491	0.0	0.1088	0.2103	-0.0876	-0.5427	0.0	0.0	0.0	0.0039	0.0159	-0.4799	0.0	-0.1127	0.1272	0.4612	-0.3372	-0.6235	0.1543	-0.1543	0.0	0.4727	-0.1511	0.3029	0.0	0.0594	0.0	-0.2062	-0.1228	0.2008	-0.2008	0.0793	0.0	-0.0793	0.1754	0.0092	-0.0184
69	Rice_Thailand_All	-0.0617	-0.0591	0.092	0.0024	-0.0555	0.0478	-0.0385	-0.0478	0.0	0.1733	0.0127	-0.0934	0.0934	-0.0054	0.0	0.0142	-0.2398	0.1102	-0.0669	-0.0002	0.0641	-0.0641	0.0	0.0148	0.0086	-0.0086	-0.0461	0.0943	0.0	-0.1909	0.079	-0.0751	-0.0039	0.0	0.0371	0.0	-0.0371	0.0409	-0.0409	0.0	0.0	0.0437	0.0002	-0.0439	0.0465	-0.0465	0.0462	0.0466	-0.08	-0.0789	0.0	0.0768	0.0225	-0.0877
70	Rice_USA_All	-0.3558	-0.1332	0.0	0.0	0.0	0.0	0.2409	0.0	-0.2452	0.0	0.1119	0.0916	-0.3175	-0.1316	0.1316	0.2011	-0.1636	0.0	0.1291	-0.2087	0.2467	0.0	-0.2483	0.0	0.0	0.1539	0.0	-0.047	0.2195	-0.2269	0.0	0.0048	-0.2482	0.2559	-0.3091	0.2492	0.0357	-0.2643	-0.0357	0.0	0.0	0.0	0.0514	0.3569	-0.3068	0.0	0.3604	-0.0582	0.0203	-0.3835	-0.0203	0.0	0.2029	0.0
71	Rice_Vietnam_All	-0.0971	0.0248	0.1959	0.0	0.0	-0.108	0.108	-0.0984	-0.1279	0.0	0.033	0.0	0.0182	-0.0371	-0.0366	0.1129	-0.1338	-0.2794	0.0	0.0	0.0	0.0	0.0	0.0	0.0438	0.0299	-0.1106	0.0	0.1003	0.0	-0.1003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	-0.03125	0.1185
