	Region	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
0	Wheat_Spring_USA_NorthDakota										-0.4	0.22	0.1	0.0	-0.33	0.03	-0.03	-0.03	0.27	0.0	-0.64	0.06	0.2	-0.26	0.21	0.41	0.0	0.0	-1.07	-0.47	0.34	0.0	0.7	0.0	0.0	-0.26	0.1	-0.34	0.0	-0.13	0.3	0.0	-0.57	0.37	0.47	-0.13	-0.34	0.0	0.0	0.5	0.0	-0.98	0.0	0.0	0.06	0.07	-0.1
1	Wheat_Spring_USA_SouthDakota										-0.26	0.3	0.06	0.0	-0.2	0.0	-0.47	0.23	0.0	0.0	-0.27	0.0	0.0	0.0	0.47	0.2	-0.14	0.14	-0.87	-0.34	0.27	0.0	0.41	-0.06	-0.13	0.0	0.61	-0.27	-0.2	0.0	0.21	0.06	-1.01	0.13	0.47	0.0	-0.67	-0.07	0.21	0.14	0.0	-0.74	-0.06	0.0	0.74	0.1	-0.2
2	Wheat_Spring_USA_Minnesota										-0.37	0.17	0.0	0.4	-0.24	-0.11	0.0	0.44	0.0	0.0	-0.16	0.2	0.0	-0.2	0.54	0.94	-0.27	0.2	-1.01	0.0	0.74	-0.48	1.28	0.0	-0.27	0.0	0.67	-0.54	0.0	-0.07	0.54	0.0	-1.01	0.94	0.54	-0.47	-0.07	0.0	0.21	0.0	0.0	-0.61	0.13	0.0	-0.13	0.14	0.0
3	Wheat_Spring_USA_Montana										0.0	-0.015	0.2	-0.14	-0.43	0.23	0.27	-0.23	0.44	-0.13	-0.24	0.0	0.33	0.07	-0.64	-1.08	0.64	0.27	-0.87	0.0	-0.2	0.21	0.0	0.2	-0.06	0.33	-0.27	0.0	0.2	0.0	0.0	0.0	-0.07	-0.07	0.6	0.6	-0.13	-0.06	0.0	0.0	0.48	-0.14	-0.13	0.27	0.0	-0.305	0.07
4	Wheat_Spring_USA_Idaho										-0.47	0.035	0.0	0.13	-0.27	0.0	0.2	-0.2	0.0	0.0	0.47	-0.47	0.2	0.74	0.0	-0.74	0.0	0.67	0.0	-0.4	0.0	0.0	0.34	0.27	-0.4	0.07	-0.34	0.0	0.0	0.13	0.0	0.0	-0.2	-0.13	0.47	0.0	0.07	-0.27	-0.07	0.0	0.13	0.47	-0.07	0.07	0.0	-0.435	0.74
5	Wheat_Spring_USA_Washington										-0.4	0.2	0.41	-0.4	-0.41	0.07	0.13	-0.07	0.0	-0.2	0.4	-0.67	0.0	0.33	0.47	-0.53	-0.47	0.6	0.47	0.0	-0.06	-0.13	0.06	0.68	-0.4	0.0	0.0	0.54	-0.06	-0.07	0.67	-0.13	0.0	-0.13	0.4	-0.13	0.27	0.06	-0.27	-0.06	0.0	0.47	0.0	0.34	-0.87	-0.575	0.87
6	Wheat_Spring_Argentina_BuenosAires																					0.0	-0.4	0.3	0.0	0.45	-0.26	0.02	-0.06	-0.02	0.1	-0.1	0.01	0.23	-0.01	0.0	-0.23	0.11	0.52	-0.14	-0.09	0.36	0.0	-0.61	0.22	0.08	-0.22	0.32	0.0	-0.63	0.0	0.94	0.45	-0.33	0.0	-0.175	0.1
7	Wheat_Spring_Argentina_Cordoba																					0.0	-0.24	0.0	0.02	0.65	-0.02	-0.45	0.24	0.13	-0.55	-0.13	0.39	0.28	-0.05	0.05	-0.15	0.0	-0.09	0.0	0.36	0.0	0.0	-0.41	0.0	0.0	0.07	-0.27	1.31	-0.26	-1.36	0.49	0.01	0.0	-1.08	0.07	0.0
8	Wheat_Spring_Argentina_SantaFe																					-0.12	-0.065	0.14	0.0	0.43	-0.33	-0.17	0.43	0.0	-0.39	0.0	0.19	0.52	-0.13	0.0	-0.1	0.08	-0.27	0.34	0.75	0.0	-0.27	-0.15	0.09	-0.09	0.31	0.0	0.34	-1.56	-0.34	0.98	0.38	0.0	-0.67	-0.01	0.35
9	Wheat_Spring_Australia_WesternAustralia																					-0.28	0.085	0.04	-0.17	0.26	-0.13	0.0	-0.09	0.2	-0.09	0.0	-0.03	0.13	0.11	-0.33	0.0	0.0	0.03	0.0	0.17	-0.48	0.0	-0.77	0.47	0.0	0.23	-0.41	-0.25	0.45	0.0	-0.54	0.52	-0.38	0.1	0.0	
10	Wheat_Spring_Australia_NewSouthWales																					0.0	0.39	-1.06	0.51	0.0	0.0	-0.05	0.0	0.16	-0.01	0.13	-0.45	0.2	0.63	-1.5	-0.07	0.61	-0.06	-0.07	0.37	0.0	0.19	-1.0	0.0	0.0	0.49	-0.9	-0.72	0.27	-0.27	0.64	0.08	0.0	-0.085	0.0	
11	Wheat_Spring_Australia_SouthAustralia																					0.0	0.025	-0.7	0.42	0.0	-0.14	0.16	-0.08	-0.5	0.27	-0.25	-0.02	0.06	0.03	-0.67	0.0	0.0	0.05	0.01	-0.48	0.23	0.63	-0.72	0.0	0.0	0.57	-0.46	-0.05	0.0	0.0	0.65	0.0	-0.47	0.1	0.04	
12	Wheat_Spring_Australia_Victoria																					0.0	0.05	-1.45	0.62	0.0	-0.29	0.23	0.0	-0.02	0.24	-0.18	-0.33	0.72	0.34	-1.21	0.0	0.6	-0.39	-0.6	0.0	0.56	0.23	-1.51	0.02	0.0	0.76	-0.67	0.0	-0.18	0.0	0.31	0.15	-0.06	0.03	-0.39	
13	Wheat_Spring_Canada_Manitoba																		0.38	-0.19	-0.63	0.28	0.2	-0.28	-0.11	0.57	0.11	0.0	-0.8	0.0	0.5	0.0	0.6	-0.4	0.0	0.0	0.4	-0.3	0.0	0.0	0.3	-0.3	-0.3	0.5	0.2	-0.5	0.0	-0.2	0.4	0.5	-0.3	-0.5	0.0	0.5	0.0	-0.05	0.1
14	Wheat_Spring_Canada_Saskatchewan																		0.43	-0.245	-0.31	0.05	0.26	0.0	-0.35	-0.16	0.45	0.25	-1.0	-0.3	0.2	0.1	-0.1	0.1	0.0	0.0	0.4	-0.1	-0.2	0.4	0.2	-0.1	-0.4	0.0	0.1	0.4	-0.1	-0.5	0.0	0.2	0.0	0.0	-0.2	0.6	0.0	-0.2	0.2
15	Wheat_Spring_Canada_Alberta																		-0.02	-0.145	0.07	0.06	-0.02	0.02	-0.48	-0.23	0.4	-0.1	-0.1	0.0	0.2	0.2	-0.2	0.2	-0.4	0.0	0.1	-0.1	-0.1	0.2	0.1	-0.2	-0.8	0.0	0.2	0.3	-0.2	-0.2	0.3	-0.3	-0.1	0.1	-0.1	0.6	0.0	-0.4	0.2
16	Wheat_Winter_USA_Kansas										-0.03	0.035	0.0	0.24	-0.17	0.0	0.07	-0.1	0.0	0.54	0.0	-0.67	0.0	0.23	0.03	0.0	-0.27	0.2	0.0	-0.68	0.4	-0.07	-0.06	0.06	0.27	-0.6	-0.61	0.0	0.21	0.07	-0.2	0.0	-0.27	0.54	0.0	0.2	-0.34	-0.47	0.0	0.13	0.21	-0.47	0.26	0.07	-0.68	-0.035	1.34
17	Wheat_Winter_USA_Nebraska										0.0	0.295	0.0	0.0	0.0	-0.14	0.0	0.2	-0.14	-0.06	0.21	0.0	-0.07	0.47	-0.14	0.0	0.0	0.4	-0.14	-0.6	0.41	0.0	-0.27	0.06	-0.06	0.41	-0.14	-0.27	0.6	0.74	-0.07	0.0	-0.27	0.6	0.0	0.0	-0.2	0.0	0.07	0.27	-0.07	0.14	-0.13	-0.41	0.54	-0.37	0.33
18	Wheat_Winter_USA_Colorado										0.04	0.115	-0.07	0.0	0.07	0.0	-0.06	-0.03	0.0	0.0	0.3	-0.03	-0.27	0.3	0.0	0.1	-0.17	0.3	0.0	-0.47	0.14	0.0	-0.06	0.41	-0.13	0.41	0.0	-0.41	0.47	0.67	-0.27	0.0	-0.47	0.53	0.21	-0.21	-0.41	0.54	-0.54	0.07	0.4	0.0	-0.41	-0.81	0.07	-0.035	0.67
19	Wheat_Winter_USA_Ohio										-0.4	0.2	0.27	-0.67	0.0	0.06	-0.07	0.34	-0.54	0.07	0.34	-0.27	-0.07	0.34	-0.13	0.87	-0.27	0.47	-0.07	0.0	0.61	-0.2	0.0	-0.06	0.34	0.2	-1.48	0.0	0.0	0.2	0.33	-0.06	-0.34	0.06	-0.4	0.2	0.06	-0.47	0.0	0.67	-0.41	-0.74	0.0	0.14	0.27	-0.335	0.4
20	Wheat_Winter_USA_SouthDakota										-0.6	0.135	0.27	0.0	-0.2	0.2	-0.54	0.0	0.27	-0.4	-0.27	0.0	0.0	0.54	0.2	-0.34	0.0	0.34	-1.01	-0.54	0.54	0.0	-0.47	0.27	-0.2	0.14	0.0	-0.47	0.07	0.34	0.0	-0.67	-0.8	0.0	0.14	0.0	-0.61	0.13	0.61	-0.33	0.0	0.0	0.06	-0.34	0.34	-0.37	0.2
21	Wheat_Winter_USA_Washington										-0.2	0.23	0.2	-0.88	-0.3	0.57	0.06	-0.74	0.0	-0.14	0.2	0.33	-0.53	0.54	0.87	-0.6	-0.53	0.27	0.34	-0.34	0.34	0.0	-0.47	0.47	-0.54	-0.2	0.34	0.07	-0.07	-0.47	0.81	0.0	-0.47	0.0	0.14	0.14	0.0	0.0	-0.4	-0.27	0.0	0.34	0.07	0.0	-1.14	-0.435	1.48
22	Wheat_Winter_USA_Idaho										0.0	0.37	0.0	0.0	-0.06	0.0	0.2	-0.2	0.47	-0.61	0.0	0.07	-0.07	0.61	0.14	-0.68	-0.14	0.6	-0.27	0.0	0.33	0.0	-0.47	0.47	-0.27	-0.2	0.0	0.0	0.13	-0.27	0.87	-0.27	-0.2	0.0	0.67	0.74	0.0	-0.27	-0.14	0.0	0.06	0.07	-0.13	0.27	-0.13	-0.135	0.81
23	Wheat_Winter_USA_Montana										0.0	0.2	0.0	-0.2	0.0	0.37	0.07	-0.13	0.13	-0.24	-0.37	0.0	0.21	0.0	-0.33	-1.07	0.33	0.27	-1.07	0.0	0.0	0.27	-0.4	0.13	0.0	0.13	-0.48	0.0	0.06	0.0	0.0	-0.74	-0.34	0.0	0.0	0.27	0.13	-0.06	0.0	-0.13	0.68	0.0	-0.14	0.13	0.0	-0.065	0.54
24	Wheat_Winter_USA_Oklahoma										0.2	-0.3	0.0	0.47	-0.2	0.0	0.0	0.0	0.0	0.74	0.0	-0.4	0.0	0.13	0.2	0.0	-0.07	-0.13	0.47	0.0	0.23	-0.1	0.0	0.13	0.0	-0.41	-0.54	0.0	0.33	0.06	0.0	-0.07	-0.41	0.4	0.2	0.0	-0.54	0.0	0.61	-0.4	0.0	-0.53	0.34	0.33	-0.94	-0.165	0.87
25	Wheat_Winter_USA_Texas										0.13	-0.135	0.0	0.47	-0.4	0.0	0.0	0.13	-0.33	0.34	0.0	0.0	-0.27	0.33	0.0	0.13	-0.2	0.0	0.0	-0.53	0.06	-0.06	0.21	0.13	-0.07	0.0	-0.07	0.0	0.33	0.13	-0.27	0.27	-0.07	-0.2	0.13	0.07	-0.47	0.47	0.0	-0.34	0.2	-0.27	0.2	-0.07	0.0	0.0	0.13
26	Wheat_Argentina_All	-0.2272	-0.02645	0.0529	0.3131	0.0	-0.0613	0.0	-0.2762	0.0856	0.0	-0.0856	0.1808	0.0663	-0.2157	0.0	0.0785	-0.3322	0.0462	0.1338	-0.1338	-0.292	0.2096	0.0	0.4663	-0.2228	-0.0525	0.0503	-0.0503	0.0	0.0	0.0	0.1572	0.1597	-0.1438	0.0	-0.2331	0.0	0.306	-0.1845	0.0	0.1906	-0.2475	-0.4573	0.0139	0.0915	-0.0932	0.0	0.2037	-0.7485	-0.1158	0.795	0.4089	-0.215	-0.0621	0.03105	0.4235
27	Wheat_Australia_All																					0.0	0.21	-0.62	0.24	0.05	-0.08	0.0	-0.09	0.0	0.0	0.05	-0.16	0.15	0.19	-0.65	-0.05	0.26	-0.02	0.0	0.17	-0.04	0.11	-0.91	0.0	0.0	0.39	-0.66	-0.49	0.01	-0.01	0.27	0.14	-0.25	0.045	0.0	
28	Wheat_Belgium_All																																								-0.1277	-0.1141	0.0	0.3029	0.7049	0.0	-0.0184	-0.3825	0.0	0.7067	0.0687	-0.4226	-0.375	0.0	0.478	0.8413	-2.6258
29	Wheat_Canada_All	-0.6654	0.02895	0.3468	-0.1828	0.0	0.3884	-0.2193	-0.3009	0.022	0.0	0.0487	-0.0077	0.0	-0.1992	0.0	0.1331	0.0	0.0355	-0.3291	-0.2747	0.0614	0.1991	0.0	-0.3246	-0.1614	0.4387	0.1203	-0.6986	-0.1203	0.1166	0.0532	-0.0424	0.0	-0.0752	0.044	0.1837	-0.127	-0.1754	0.3418	0.1896	-0.3113	-0.4241	0.0	0.0313	0.1285	-0.0313	-0.416	0.0666	-0.023	-0.0436	0.0923	-0.0923	0.6375	0.0	-0.3163	0.1884
30	Wheat_Denmark_All	0.0	0.03125	-0.5132	0.0	0.1821	-0.1821	0.1952	0.3278	-0.291	0.0	0.4409	-0.092	-0.4409	0.6665	0.0	-0.537	0.0591	0.1089	-0.0591	-0.5863	0.0	0.2726	0.0	0.9226	-0.3428	0.0	-0.421	0.0	0.1785	0.3431	0.0	-0.8281	0.0	-0.4843	0.5769	-0.2193	0.0	0.0419	-0.2402	0.2321	0.2791	-0.1061	-0.0638	0.0638	0.156	-0.1442	-0.6718	0.8674	1.4109	-0.7423	-0.832	0.0695	-0.0695	0.4146	0.41145	-0.5766
31	Wheat_Winter_France_All	-0.2674	0.2064	-0.4128	0.0782	0.1121	-0.4359	0.0556	0.0832	-0.0556	-0.2418	0.0	0.0631	0.0	0.0777	-0.3569	-0.4581	0.0	0.2503	-0.229	0.1487	-0.1164	0.055	-0.1086	1.011	0.4415	-0.5512	-0.4415	0.0	0.0	0.0745	0.2034	-0.0745	-0.0357	0.1602	-0.1158	0.4642	-0.5086	0.4735	0.126	-0.126	-0.5001	0.3283	-0.7388	0.59	0.2473	-0.2473	-0.7345	0.3604	1.005	-0.6599	-0.9651	0.0	0.0	0.0874	0.4915	-2.0489
32	Wheat_Winter_Germany_All	-0.5291	-0.0018	0.0036	0.0947	-0.1613	-0.252	0.1339	0.3285	-0.1339	-0.3116	0.3849	-0.3097	0.0	0.3069	-0.0289	-0.4209	0.0	0.148	0.0	-0.1408	0.0	0.0349	-0.0349	0.1036	0.0	0.1588	-0.0538	0.1347	-0.5451	0.0468	0.4978	-0.6031	-0.1778	0.0	0.0	0.0897	0.0	-0.0791	0.2585	0.0	0.6001	-0.377	-0.9666	0.9709	0.2644	-0.2644	-0.504	0.7771	0.4989	-0.021	-0.3173	0.0	0.0	0.6317	0.0449	-0.4468
33	Wheat_Ireland_All	0.0	0.17495	0.0	-0.0617	-0.0361	0.0	0.0	0.5329	0.2135	-0.1577	0.1577	-0.0461	-0.2668	0.3194	0.0779	-0.4051	0.0451	-0.0119	0.0	-0.027	0.0	0.446	0.0	1.2285	-0.2213	-1.4934	0.0	0.2027	-0.2027	0.6777	0.0	0.0168	-1.0474	-0.1505	0.5251	0.9655	-0.5251	-0.7355	0.0	0.6873	0.2936	-0.6161	-0.1462	1.4801	-0.0309	0.1841	0.0	0.3712	-0.4333	0.0	1.263	-1.7689	-0.8686	0.475	0.8912	-0.475
34	Wheat_Netherlands_All	-0.2711	0.17565	-0.2467	0.2635	0.0	-0.3982	0.3672	0.0	-0.1879	0.1223	0.423	-0.6576	0.2865	0.4782	-0.3194	0.0	-0.207	0.6283	-0.2639	-0.3644	0.0	0.3528	0.0	0.4958	-0.3917	0.7707	-0.2914	-0.3704	0.0	0.0	0.0	0.0	0.7038	-0.5515	0.0	0.8938	-0.6002	-0.6355	0.3864	0.4145	-0.3864	-0.5447	0.1507	0.3217	0.0	-0.1992	-1.3218	0.0	0.5624	0.1797	-0.96	-0.1542	0.0	0.4286	0.19215	-1.1423
35	Wheat_Poland_All	0.0039	-0.02535	0.0	-0.117	0.0	0.0	0.0	0.1557	0.0	-0.1557	0.1343	-0.1343	0.1335	0.2408	-0.1335	0.0	0.0	0.3605	-0.1914	-0.3691	0.0	0.0	0.0	0.0937	-0.0937	0.1825	0.0194	-0.2437	0.051	0.1543	0.0	-0.2644	0.0	-0.1462	0.2736	0.0	-0.2978	0.1669	0.0	-0.3068	0.0294	0.3203	-0.4492	0.4272	0.0164	-0.7098	-0.0164	0.1284	0.1009	-0.1916	-0.009	0.0	0.0	0.4303	0.0163	-0.0326
36	Wheat_Russia_All																																0.1375	0.15785	-0.0989	-0.1541	0.0989	0.294	-0.2088	-0.0451	0.0	0.353	0.0862	-0.2767	0.0322	-0.0168	-0.0322	0.0	0.3452	0.0537	-0.3464	0.0357	-0.4561	-0.0357	0.1093	-0.05465	0.1859
37	Wheat_Winter_UK_All	-0.3679	0.2764	-0.1602	0.1822	0.0	-0.2298	0.1449	-0.4912	-0.1449	0.0	0.1478	-0.1242	0.0	0.6368	-0.031	-1.0501	0.0	0.0234	-0.0234	0.0365	-0.0365	0.0	0.0384	1.3488	-0.0384	0.6326	-0.3453	-0.5227	0.0	0.1521	0.281	-0.4331	0.0	0.0	0.3226	0.5933	-0.3226	-0.4532	0.4948	0.0052	-0.9199	0.2246	0.0	-0.1855	0.183	0.0756	-0.7363	0.3513	0.1815	-0.0756	0.0756	-1.0159	-0.3672	0.6878	0.7424	-0.6878
38	Wheat_USA_All	-0.0739	-0.007	0.0	0.0	0.0478	0.0	-0.0478	0.0	0.0	0.0	0.1581	0.0735	0.0	-0.2249	0.0	-0.0207	0.0	0.0	0.0467	-0.0467	0.0	0.0	0.1312	0.0876	-0.0133	-0.203	0.2163	-0.0254	-0.1014	0.3529	-0.2661	0.0734	0.0429	0.0	-0.1205	-0.0881	0.0	0.0796	0.0488	0.0	-0.122	-0.4671	0.1481	0.0795	0.0	-0.2245	-0.1185	0.0278	0.0	0.0992	-0.1732	0.0	0.2251	-0.1776	-0.12265	0.6012
39	Wheat_USA_Crop	-0.0739	-0.007	0.0	0.0	0.0478	0.0	-0.0478	0.0	0.0	0.0	0.1581	0.0735	0.0	-0.2249	0.0	-0.0207	0.0	0.0	0.0467	-0.0467	0.0	0.0	0.1312	0.0876	-0.0133	-0.203	0.2163	-0.0254	-0.1014	0.3529	-0.2661	0.0734	0.0429	0.0	-0.1205	-0.0881	0.0	0.0796	0.0488	0.0	-0.122	-0.4671	0.1481	0.0795	0.0	-0.2245	-0.1185	0.0278	0.0	0.0992	-0.1732	0.0	0.2251	-0.1776	-0.12265	0.6012
40	Wheat_China_All	-0.135	-0.04205	0.0	0.0	0.0	0.0	0.0419	0.0	-0.0419	0.0	0.0	0.0358	-0.0358	0.0	0.1281	0.1357	-0.3104	0.0	0.2481	-0.2177	-0.0304	0.0	0.0	0.0324	-0.0324	0.0712	0.0	-0.0724	0.0	0.0937	-0.0937	0.0	0.0925	-0.0925	0.0	0.0489	0.3678	-0.053	0.1405	-0.0384	0.0	-0.0295	0.0	0.0	0.0	0.1162	-0.1162	0.023	-0.0094	-0.0136	0.0	0.0	0.0	0.0	0.07445	0.0166
41	Wheat_Argentina_Crop	-0.2272	-0.02645	0.0529	0.3131	0.0	-0.0613	0.0	-0.2762	0.0856	0.0	-0.0856	0.1808	0.0663	-0.2157	0.0	0.0785	-0.3322	0.0462	0.1338	-0.1338	-0.292	0.2096	0.0	0.4663	-0.2228	-0.0525	0.0503	-0.0503	0.0	0.0	0.0	0.1572	0.1597	-0.1438	0.0	-0.2331	0.0	0.306	-0.1845	0.0	0.1906	-0.2475	-0.4573	0.0139	0.0915	-0.0932	0.0	0.2037	-0.7485	-0.1158	0.795	0.4089	-0.215	-0.0621	0.03105	0.4235
42	Wheat_Australia_Crop																					0.0	0.21	-0.62	0.24	0.05	-0.08	0.0	-0.09	0.0	0.0	0.05	-0.16	0.15	0.19	-0.65	-0.05	0.26	-0.02	0.0	0.17	-0.04	0.11	-0.91	0.0	0.0	0.39	-0.66	-0.49	0.01	-0.01	0.27	0.14	-0.25	0.045	0.0	
43	Wheat_Canada_Crop	-0.6654	0.02895	0.3468	-0.1828	0.0	0.3884	-0.2193	-0.3009	0.022	0.0	0.0487	-0.0077	0.0	-0.1992	0.0	0.1331	0.0	0.0355	-0.3291	-0.2747	0.0614	0.1991	0.0	-0.3246	-0.1614	0.4387	0.1203	-0.6986	-0.1203	0.1166	0.0532	-0.0424	0.0	-0.0752	0.044	0.1837	-0.127	-0.1754	0.3418	0.1896	-0.3113	-0.4241	0.0	0.0313	0.1285	-0.0313	-0.416	0.0666	-0.023	-0.0436	0.0923	-0.0923	0.6375	0.0	-0.31195	0.1971
44	Wheat_Russia_Crop																																0.1375	0.15785	-0.0989	-0.1541	0.0989	0.294	-0.2088	-0.0451	0.0	0.353	0.0862	-0.2767	0.0322	-0.0168	-0.0322	0.0	0.3452	0.0537	-0.3464	0.0357	-0.4561	-0.0357	0.1093	-0.05465	0.1859
45	Wheat_China_Crop	-0.135	-0.04205	0.0	0.0	0.0	0.0	0.0419	0.0	-0.0419	0.0	0.0	0.0358	-0.0358	0.0	0.1281	0.1357	-0.3104	0.0	0.2481	-0.2177	-0.0304	0.0	0.0	0.0324	-0.0324	0.0712	0.0	-0.0724	0.0	0.0937	-0.0937	0.0	0.0925	-0.0925	0.0	0.0489	0.3678	-0.053	0.1405	-0.0384	0.0	-0.0295	0.0	0.0	0.0	0.1162	-0.1162	0.023	-0.0094	-0.0136	0.0	0.0	0.0	0.0	0.07445	0.0166
46	Wheat_Winter_China_Hebei																			0.571	-0.43545	-0.3367	0.0	0.0	0.0	0.0862	0.1526	-0.1933	-0.0455	0.0	0.1368	-0.0103	0.0	-0.0392	0.0	0.0	0.0	0.35553	0.0	0.1551	0.0	-0.15742	-0.02065	0.0	0.12225	0.0	-0.12225	0.0	0.0	0.05166	-0.05166	0.0	0.0	0.14167	0.2693		
47	Wheat_Winter_China_Jiangsu																			0.0	0.0339	-0.5439	0.0221	-0.0221	0.2223	-0.2223	0.0972	0.074	0.0	-0.2779	0.0	-0.2664	0.1237	-0.0217	-0.001	0.0	0.4252	0.0	-1.26564	0.6459	0.0	0.03513	-0.31863	-0.35319	0.0	0.0	0.0	0.0	0.0	0.01813	-0.01813	0.0	0.0	0.105935	0.2427		
48	Wheat_Winter_China_Anhui																			0.0	-0.3658	0.0	0.0	0.0	0.0326	-0.0326	0.0	0.2547	0.0	0.0	-0.0264	-1.3807	0.0	0.0	0.0137	-0.0137	0.1002	0.78077	-0.76263	0.36133	0.0	0.45755	-0.00135	-0.58806	0.00267	-0.00267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059025	0.2491		
49	Wheat_Winter_China_Shandong																			0.0931	-0.3836	0.0	-0.014	0.0	0.0	0.1044	0.023	-0.023	-0.2718	0.0	0.0	0.0	0.0	0.0	0.0	0.04622	0.0	0.41323	-0.00744	0.20119	0.0	-0.29454	-0.40897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014715	0.0123		
50	Wheat_Winter_China_Henan																			0.0	-0.3363	0.0	0.0	0.0243	0.3394	-0.0348	0.0	0.0884	-0.175	0.1523	0.0	-0.262	0.0	0.3272	0.0	-0.3272	0.0	0.63754	-0.36531	0.0	-0.08795	0.0983	-0.14109	-0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030955	0.1452		
